Rank,Card Name,Top,Right,Bottom,Left,Element
1,Guard,5,3,2,3,
1,Lobo,4,2,1,4,
1,Vommamoth,4,2,5,1,
1,Were-Rat,2,3,1,4,
1,Vaporite,1,3,3,3,
1,Repo Man,1,2,4,5,
1,Leafer,3,1,5,2,
1,Magitek Armor,3,4,2,4,
1,Brawler,1,3,6,3,
1,Trillium,4,1,4,2,
1,Ninja,3,1,3,3,
1,Pipsqueak,4,1,3,4,

2,Pterodon,4,6,4,1,
2,Exocite,4,5,2,4,
2,Merchant,2,5,4,3,
2,Nautiloid,3,1,3,5,
2,Darkwind,4,3,3,5,
2,Sand Ray,2,4,5,4,
2,Areneid,5,2,3,5,
2,Hornet,2,3,4,6,
2,Crawly,5,2,2,4,
2,Bleary,7,1,4,2,
2,Gold Bear,5,3,3,3,
2,Beakor,3,3,6,3,

9,Ultima Weapon,2,3,5,6,
3,Vargas,2,7,2,5,
3,Ultros,3,6,3,5,
3,Dadaluma,3,4,6,4,
3,Chupon,1,6,5,6,
3,Number 128,3,5,7,3,
3,Air Force,3,4,5,6,
3,Magic Master,4,3,3,6,
3,Dante,7,5,1,4,
3,Whelk,3,5,6,3,
3,Rhinotaur,6,3,3,4,
3,Rhodox,3,6,7,2,

4,Soldiers,6,5,3,5,
4,Doberman,5,4,4,6,
4,Stray Cat,2,4,5,6,
4,Rhobite,5,7,3,4,
4,Cadet,2,4,8,3,
4,Telstar,3,7,6,3,
4,Ghost,4,5,7,4,
4,Hazer,5,5,6,4,
4,Dark Side,7,3,4,3,
4,Over Mind,6,4,4,4,
4,Bomb,4,6,5,5,
4,Siegfried,4,6,4,5,

5,Crasshopper,6,3,7,5,
5,Anguiform,4,4,2,7,
5,Piranha,4,2,5,9,
5,Fidor,6,6,6,3,
5,Bounty Man,8,6,4,3,
5,Tonberry,5,6,5,3,
5,Fossil Fang,3,7,7,3,
5,Vulture,6,2,3,5,
5,Harvester,6,5,3,4,
5,Behemoth,10,6,3,3,
5,Dark Force,3,4,6,5,
5,Naughty,8,2,7,5,

6,Samurai,4,7,5,4,
6,Hadesgigas,6,6,3,7,
6,Malboro,1,4,8,7,
6,Allo Ver,7,5,4,4,
6,Slam Dancer,2,8,9,3,
6,Chicken Lip,4,5,7,6,
6,Joker,10,4,6,2,
6,Mag Roader,3,7,8,4,
6,Brain Pan,9,2,4,5,
6,Sky Armor,4,10,5,3,
6,Magna Roader,4,7,4,6,
6,Proto Armor,6,7,6,3,

7,Chaos Dragon,7,5,7,6,
7,Ing,7,5,2,9,
7,Veteran,10,4,4,7,
7,Ghost Train,5,8,7,4,
7,Brachosaur,7,4,9,5,
3,Adamanchyt,4,7,7,5,
7,Angler Whelk,8,7,5,4,
7,Chimera,5,9,5,6,
7,Dragon,4,7,7,6,
7,Apokryphos,6,6,8,3,
7,Zone Eater,5,7,8,4,
7,Phunbaba,8,5,6,5,

7,Demon,5,9,6,4,
9,God Kefka,5,7,7,8,
9,Esper Terra,6,5,5,10,
9,Biggs & Wedge,3,7,6,9,
9,Banon,4,5,8,8,
9,Friendly Ghost,5,7,6,7,
9,Umaro,9,8,5,5,
10,Locke,10,3,8,5,
10,Cyan,5,10,7,5,
10,Shadow,7,6,9,7,
10,Gau,8,5,8,7,
9,Emperor Gestahl,4,6,8,6,

9,Mog,9,6,7,5,
9,Gogo,8,9,3,4,
10,Strago,7,6,8,7,
10,Relm,7,6,6,9,
10,Setzer,7,9,5,8,
10,Sabin,9,5,6,7,
10,Edgar,10,7,5,6,
10,Terra,7,4,10,5,
9,General Leo,9,7,7,3,
10,Kefka,9,9,3,7,
10,Celes,10,3,6,7,
9,Cid,9,6,8,4,

8,Ifrit,5,8,3,7,
8,Kirin,8,7,5,5,
8,Bahamut,3,8,7,6,
8,Shiva,6,9,6,5,
8,Maduin,9,4,5,8,
8,Bismarck,7,7,4,7,
8,Tritoch,6,7,9,3,
8,Alexander,7,6,5,5,
8,Odin,6,4,5,8,
8,Gilgamesh,5,7,9,5,
8,Phoenix,3,10,6,5,
8,Starlet,9,7,6,4,
